instrument,levelType,price,extraInfo
NQ,HG,24303.625,
NQ,OPEN,24493.25,
NQ,CLOSE,24114,
NQ,DD_UPPER,24355.47625,
NQ,DD_LOWER,23847.52375,
ES,HG,6610.375,
ES,OPEN,6658,
ES,CLOSE,6562.75,
ES,DD_UPPER,6655.41575,
ES,DD_LOWER,6521.58425,
SP500,RES,80.06,
SP500,RES_SP,-19.06,
SP500,RES_HP,-36.45,
NQ100,RES,94.4,
NQ100,RES_SP,-29.95,
NQ100,RES_HP,-44.42,
MARKET,DD_RATIO,0.68,
SPY,LIVE_PRICE,6675,U
QQQ,LIVE_PRICE,24572.75,U
IWM,LIVE_PRICE,2529.9,U
SP,HEADER_HP,585,
NQ,HEADER_HP,585,
SP,HEADER_MHP,582.5,
NQ,HEADER_MHP,582.5,
